molecule_chembl_id,canonical_smiles,standard_value
CHEMBL365499,N#Cc1cccc(-n2nnc(-c3ccccn3)n2)c1,73.0
CHEMBL186521,c1ccc(Oc2cccc(-n3nnc(-c4ccccn4)n3)c2)cc1,1458.0
CHEMBL186212,c1ccc(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)cc1,334.0
CHEMBL186788,Cc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,113.0
CHEMBL185884,Clc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,150.0
CHEMBL185829,Fc1cccc(F)c1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,151.0
CHEMBL364160,COC(=O)c1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,223.0
CHEMBL361516,FC(F)(F)c1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,229.0
CHEMBL187328,Oc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,288.0
CHEMBL186744,COc1ccc(C)cc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,312.0
CHEMBL445922,CCOc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,316.0
CHEMBL365493,Fc1ccc(F)c(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)c1,342.0
CHEMBL365869,FC(F)(F)Oc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,376.0
CHEMBL363986,CC(=O)c1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,418.0
CHEMBL185701,c1ccc(Oc2ccccc2-c2cccc(-n3nnc(-c4ccccn4)n3)c2)cc1,445.0
CHEMBL360208,c1ccc(COc2ccccc2-c2cccc(-n3nnc(-c4ccccn4)n3)c2)cc1,451.0
CHEMBL442701,COc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,461.0
CHEMBL186075,O=Cc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,497.0
CHEMBL187269,CCc1ccccc1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,664.0
CHEMBL365236,Cc1cccc(C)c1-c1cccc(-n2nnc(-c3ccccn3)n2)c1,949.0
CHEMBL187320,c1ccc(-c2ccccc2-c2cccc(-n3nnc(-c4ccccn4)n3)c2)cc1,982.0
CHEMBL184821,COC(=O)c1cccc(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)c1,337.0
CHEMBL184822,Clc1cccc(-c2cccc(-n3nnc(-c4ccccn4)n3)c2)c1,966.0
CHEMBL186571,c1ccc(Oc2cccc(-n3nnc(-c4ccccn4)n3)c2)nc1,2859.0
